,City,Population,Zip Codes
292,Norwalk,"105,120
","90650–90652, 90659"
293,San Mateo,"105,025
","94401–94404, 94497"
294,Green Bay,"104,879
","54301-08, 54311, 54313, 54324, 54344"
295,Wichita Falls,"104,576
",76301-11
296,Sparks,"104,246
",89431–89437
297,Lakewood,"104,157
",08701[16][17]
298,Burbank,"103,695
","91501–91508, 91510, 91521–91523, 91526"
299,Rialto,"103,440
",92376–92377[9]
300,Allen,"103,383
","75002, 75013"
301,El Cajon,"103,241
","92019–92022, 92090"
302,Las Cruces,"102,926
",N/A
303,Renton,"102,153
",98055–98059
304,Davenport,"102,085
",52801–52809
305,South Bend,"101,860
","46601, 46604, 46612–46617, 46619–46620, 46624, 46626, 46628–46629, 46634–46635, 46637, 46660, 46680, 46699"
306,Vista,"101,224
","92081, 92083–92085"
307,Tuscaloosa,"101,113
","35401-35407, 35485-35487"
308,Clinton,"100,800
","48035, 48036, 48038"
309,Edison,"100,693
","08817, 08818, 08820, 08837, 08899[15][16]"
310,Woodbridge,"100,450
",07001 - Avenel[13]07064 - Port Reading[14]07067 - Colonia[15]07077 - Sewaren[16]07095 - Woodbridge[17]08830 - Iselin[18]08832 - Keasbey[19]08840 - Menlo Park Terrace[20]08861 - Hopelawn[21]08863 - Fords[22][23]
311,San Angelo,"100,215
",76901-09
312,Kenosha,"100,164
",53140–53144
313,Vacaville,"100,154
","95687, 95688, 95696"
